Type,Name,PhysAbsorb,SlashAbsorb,StrikeAbsorb,ThrustAbsorb,MagicAbsorb,FireAbsorb,LightningAbsorb,DarkAbsorb,BleedRes,PoisonRes,FrostRes,CurseRes,Weight,Poise
Helm,Alva Helm,4.2,4.2,3.4,4,3.1,3.8,3.1,3.6,28,18,19,12,4.2,3.9
Helm,Archdeacon White Crown,1.6,1.9,2.7,1.9,5,4.6,5,5.4,11,19,19,38,1.8,2.1
Helm,Aristocrat's Mask,5.3,5,2.2,4.9,3.9,4.1,2.1,3.6,25,17,17,28,5.9,4.6
Helm,Assassin Hood,1.9,1.9,2.7,2.2,3.3,4.3,3.3,2.5,17,27,20,20,1.8,1.7
Helm,Black Hand Hat,2.6,3.8,2.1,2.9,4.2,4.4,3.3,2.7,19,30,21,25,2.5,1.4
Helm,Black Iron Helm,5.1,5.4,4.3,5.3,4.6,5.7,4.2,4.6,26,19,21,13,6.8,5
Helm,Black Knight Helm,4.7,3.3,3.8,4.2,3.2,4.5,3,3.6,27,19,19,19,5.6,3
Helm,Black Set,,,,,,,,,,,,,,
Helm,Brass Helm,4.5,4.4,3.5,4.1,4.6,3.4,2.3,3.4,27,15,17,13,4.7,2.9
Helm,Brigand Hood,3.5,3.5,3.2,3.5,2.7,3,3.3,2.7,19,29,28,19,2.7,1.9
Helm,Catarina Helm,5.4,5.6,4.6,5,4.3,4.7,5.5,5,34,27,27,17,7.7,5.7
Helm,Cathedral Knight Helm,4.9,4.4,4.9,5,4.7,4.3,4.6,3.9,28,26,26,20,7.6,4.9
Helm,Chain Helm,3.8,4.3,2.2,3.4,2.6,2,1.1,2.9,28,15,15,11,3.9,2.1
Helm,Cleric Hat,1.4,1.4,1.9,1.6,5,3.8,4.9,5,18,25,12,29,1.4,1
Helm,Conjurator Hood,1.5,1.5,1.5,1.3,4.4,5.1,5,4.6,13,27,19,26,1.8,0.8
Helm,Court Sorcerer Hood,0.9,0.9,1.1,1.1,4.1,3.7,4.5,4.4,14,21,15,33,1.5,0.3
Helm,Creighton's Steel Mask,4.3,4.7,3.7,3.9,3.7,4.1,2.2,3.9,26,19,19,12,5.9,4
Helm,Crown of Dusk,0.8,0.2,0,0,-30,4,3,3.2,5,12,8,33,1,0
Helm,Dancer's Crown,3.3,4.4,1.8,4,2.7,2.2,2.5,2.8,14,10,23,8,2.8,2.1
Helm,Dark Mask,4.3,3.9,3.1,3.7,3.1,2.5,1.3,3.1,18,14,15,7,4,2.7
Helm,Dragonslayer Helm,4.6,4.6,3.8,4.6,3.5,4.1,4.1,2.6,28,18,18,16,5.8,3.2
Helm,Drakeblood Armor Set,4.8,5.1,4.7,4.6,4.8,4.4,4,4,34,19,21,15,6.3,3.8
Helm,Eastern Helm,4.1,4.8,2.5,3.7,1.6,3.4,1.2,1.6,32,12,15,9,3.9,2.9
Helm,Elite Knight Helm,4.5,4.5,4.5,4.5,3.7,4.1,3.1,3.5,24,15,15,9,5.3,3.1
Helm,Evangelist Hat,3.7,3.1,4.5,3.1,4.3,4.8,4.8,3.1,15,27,24,25,3.2,2.5
Helm,Executioner Helm,5.3,5.3,4.2,4.9,4.8,4.9,3.8,4.6,31,28,29,21,7.2,4.6
Helm,Exile Mask,5.1,6,5,4.8,4.3,4.8,3.4,4.4,39,29,24,19,7.5,5.1
Helm,Fallen Knight Helm,4.4,3.6,4.2,4,2.9,4.2,3.5,2.6,21,14,19,12,4.6,2.1
Helm,Faraam Helm,4.9,4.7,4.7,4.5,4,4.4,4.2,4.2,27,22,28,14,6.6,4.1
Helm,Fire Witch Helm,4.7,3.7,2.3,3.7,4.1,4.5,2.8,3.9,18,13,15,11,3.9,3.1
Helm,Firelink Helm,4.7,4.6,2.5,4.4,2.6,4.4,1.8,1.4,20,12,16,8,4.1,3.2
Helm,Golden Crown,4,3.4,4.2,3.2,4.2,4.8,4.2,4.2,21,29,28,27,3.5,2.6
Helm,Grave Warden Hood,1.5,2.9,1.2,1.8,3.3,3.3,4,1.4,30,28,8,25,1.5,0.5
Helm,Havel's Helm,5.8,5.5,5.2,5.2,5,5.9,4.6,5,31,30,30,26,11.2,5.8
Helm,Helm of Favor,4.3,4.2,3.9,4.3,3.5,3.7,2.5,3.7,30,23,25,18,5.9,3.6
Helm,Helm of Thorns,3.7,4.5,2.6,3.9,2.3,2.3,2.3,1.8,30,13,15,11,3.8,2.2
Helm,Herald Helm,4.2,4.2,2.5,4,3.5,3.2,1.6,3.2,24,14,17,10,3.7,3.4
Helm,Hood of Prayer,0.8,0.8,0.8,0.8,3.9,3.5,3.7,4.4,8,28,13,40,1.3,0.2
Helm,Iron Helm,4.7,4.5,4.9,4.5,4.7,4.7,4.5,4.7,17,17,17,15,6,4
Helm,Karla's Pointed Hat,1.6,1.4,1.4,1.2,5,4.7,4.9,4.9,9,15,13,23,1.7,0.6
Helm,Knight Helm,4.5,4.7,3.8,4.2,2.7,3.8,2.4,3,22,17,18,12,5.2,3.3
Helm,Lorian's Helm,5,4.8,3.2,3.5,4.7,3.3,3.3,4.8,24,12,17,15,5.6,3.5
Helm,Lothric Knight Helm,4.8,5,3.8,4.6,4,4.6,2.8,3.6,31,18,22,14,6,4.1
