Type,Name,PhysAbsorb,SlashAbsorb,StrikeAbsorb,ThrustAbsorb,MagicAbsorb,FireAbsorb,LightningAbsorb,DarkAbsorb,BleedRes,PoisonRes,FrostRes,CurseRes,Weight,Poise
Legs,Alva Leggins,6.8,6.8,5.4,6.5,5,6.2,5,5.8,36,221,22,12,5.5,7.2
Legs,Archdeacon Skirt,2.4,2.9,4.2,2.9,7.7,7.2,7.7,8.5,14,27,26,55,2.6,3.6
Legs,Antiquated Skirt,1.5,1.5,1.8,1.2,6.7,7.5,6.4,7,13,23,16,54,2.1,0.7
Legs,Assassin Trousers,5.2,6,3.8,4.8,6.6,6.9,5.2,4.3,29,43,32,38,4.3,3
Legs,Black Iron Leggings,8.7,8.5,6.7,8.3,7.2,8.9,6.6,7.2,42,32,35,24,9.9,8.8
Legs,Black Knight Leggings,8.1,7.6,6.7,7.4,6.2,8.3,5.8,6.9,38,27,26,26,8.5,6.7
Legs,Black Leather Boots,4.8,5.2,4.3,3.8,4.8,4.3,5.6,4.3,25,37,31,25,3.6,3.2
Legs,Black Leather Boots,4.8,5.2,4.3,3.8,4.8,4.3,5.6,4.3,25,37,31,25,3.6,3.2
Legs,Black Leggins,5.2,6.4,5.2,4.7,6.7,8.1,7.3,7.8,26,38,32,46,4.5,4.6
Legs,Brass Leggings,7.9,7.5,5.9,6.9,7.9,6,4.2,60,39,22,24,18,6.8,6
Legs,Brigand Trousers,6,6,5.6,6,4.8,5.2,5.6,4.8,32,43,41,32,5,3.9
Legs,Catarina Leggins,8.5,9.3,7.4,8.3,6,6.6,7.8,6.8,47,35,35,21,11.1,9.2
Legs,Cathedral Knight Leggings,7.7,7,7.6,8,7.4,6.9,7.3,5.9,40,38,38,26,10.2,8.1
Legs,Chain Leggings,6.7,7.6,4.2,6,5.5,4.5,3.1,5.9,36,17,17,10,5.1,5.4
Legs,Cleric Trousers,2.4,1.6,1.6,1.9,6.9,5,6.8,7,26,36,18,42,2.1,0.7
Legs,Conjurator Boots,2.3,2.3,2.3,2,7,8.1,7.9,7.3,19,39,27,38,2.6,1.3
Legs,Cornyx's Skirt,1.7,1.7,1.7,1.5,6.9,7.1,6.6,7,15,24,18,48,2,3
Legs,Court Sorcerer Trouser,2.2,2.2,2.5,2.5,7.4,6.8,8,7.9,19,29,21,47,2.2,1.4
Legs,Dancer's Leggings,6,7,4.2,6.7,4.7,3.4,4.7,5.1,22,17,31,10,4.4,4.6
Legs,Dark Leggings,7.8,7.1,5.7,6.8,6.1,5.3,2.9,6.1,26,20,23,10,6.1,6.1
Legs,Deacon Skirt,1.1,2.1,1.7,1.7,6.8,6.9,6.3,7.2,13,26,22,50,2.3,1.4
Legs,Deserter Trousers,4.2,4.2,4.7,4.2,5,5,5.9,7,21,34,28,25,3.1,2.7
Legs,Dragonscale WaistCloth,6.9,7.1,5.8,5.8,4.1,6.8,1.8,4.1,31,21,22,10,6.3,6.5
Legs,Dragonslayer Leggings,7.4,7.4,6.2,7.4,6,6.8,6.8,4.5,38,23,24,21,8.4,6.4
Legs,Drakeblood Armor Set,7.3,7.7,7.2,7,7.1,6.6,6,6,45,23,25,17,8.6,6.4
Legs,Drang Shoes,4.7,5.2,5.2,5.2,6.3,5,7,6.3,24,37,39,26,4.2,1.6
Legs,Eastern Leggings,5.1,7.3,4.7,4.6,5.4,7.2,6.6,5.4,47,40,41,39,5,4.9
Legs,Elite Knight Leggings,7.8,7.6,6.5,7.4,6.5,7.1,5.3,6.1,38,25,26,16,6.9,6.4
Legs,Evangelist Trousers,5.5,5.1,6.9,4.6,6.6,7.3,7.3,4.6,22,39,35,37,4.6,4.4
Legs,Executioner Leggings,8.4,8.1,6.8,8.3,7.7,7.9,6.2,7.4,39,35,37,25,10.4,8.4
Legs,Exile Leggings,8.7,8,8.4,7.5,7.3,8.3,7.4,7.6,57,43,35,28,10.9,9.9
Legs,Fallen Knight Trousers,7.3,5.6,7,6.4,5,7.8,6.3,5.5,22,10,20,9,5.3,4.6
Legs,Faraam Boots,7.2,7.2,7.2,6.6,5.2,6.4,5.6,5.6,34,24,37,15,6.8,6.5
Legs,Fire Keeper Skirt,1.9,1.9,2.6,1.9,7.1,7.6,6.8,8.3,13,24,18,40,2.1,0.6
Legs,Fire Witch Leggings,7.4,5.7,3.5,5.7,6.5,7.1,4.3,6.1,24,16,20,13,5.5,5.5
